,Dataset1,Dataset2,Transform,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex
411,SWU2,LMU3,combat,-0.05060894836320039,1.0,0.058594822017167446,0.007734841127767528
412,SWU2,SWU1,raw,0.15214902657279777,1.9962791399190236e-05,0.10032935150134675,0.0004440165357117585
413,SWU2,SWU1,ptr,-0.12327902096241228,1.0,0.09624160564553781,0.0005688326261798919
414,SWU2,SWU1,zscore,-0.11146571054557898,1.0,0.11202301935778433,0.0002192347586725395
415,SWU2,SWU1,combat,-0.04350008120542033,1.0,0.10641661670420807,0.00030734732777897196
416,SWU2,IPCAS5,raw,0.11102025259559367,0.0005674040575070916,0.06395908672910883,0.00701942941768543
417,SWU2,IPCAS5,ptr,,,,
418,SWU2,IPCAS5,zscore,,,,
419,SWU2,IPCAS5,combat,-0.023588421276671132,1.0,-0.001748623419196291,0.3626675576904166
420,BNU2,BNU1,raw,0.04195172654920877,0.0021813111584792324,0.03348766241721015,0.005529636838512654
421,BNU2,BNU1,ptr,-0.06652654947286152,1.0,0.03290404885066522,0.005899293319354068
422,BNU2,BNU1,zscore,-0.059033329818167266,1.0,0.033026226256359835,0.005819874751225342
423,BNU2,BNU1,combat,-0.020182942792906146,1.0,0.034146821741086845,0.00514041741070461
424,BNU2,UWM,raw,0.4420793007564664,2.317787341549581e-16,0.04472755106859193,0.005494214377126512
425,BNU2,UWM,ptr,-0.08748943061853735,1.0,0.055547997985842576,0.00225161906356625
426,BNU2,UWM,zscore,-0.07819165071929528,1.0,0.0547183974860927,0.0024099143719661727
427,BNU2,UWM,combat,-0.03483804683656385,1.0,0.05614148152310486,0.002144885123047457
428,BNU2,NYU2,raw,0.2764955921250868,3.5479547724770045e-23,0.023311292827281904,0.00241279188956187
429,BNU2,NYU2,ptr,-0.04242840323761565,1.0,0.025226413247444686,0.0016711241359058727
430,BNU2,NYU2,zscore,-0.03616675863705203,1.0,0.025249445396159323,0.0016637773503205516
431,BNU2,NYU2,combat,-0.018447841891963353,1.0,0.025889104852639747,0.0014722991729347772
432,BNU2,HNU1,raw,0.2582335714851806,1.7446670360338887e-24,0.08172860795895462,6.4584154599717184e-09
433,BNU2,HNU1,ptr,-0.030704351245544666,1.0,0.08863093447165096,1.5644248586801177e-09
434,BNU2,HNU1,zscore,-0.026596157782830757,1.0,0.0877376746250994,1.8792168955456898e-09
435,BNU2,HNU1,combat,-0.01326445726333425,1.0,0.09058977639627502,1.0466848283640609e-09
436,BNU2,IPCAS1,raw,0.18752525986446794,2.57491691773456e-08,0.07918049271008891,0.00021803808415044035
437,BNU2,IPCAS1,ptr,-0.08469452882987467,1.0,0.04643955553619835,0.003690135947691942
438,BNU2,IPCAS1,zscore,-0.0769679540868419,1.0,0.04552261621567309,0.004000432670066513
439,BNU2,IPCAS1,combat,-0.027986573126088227,1.0,0.052890642271914125,0.0020971473936094425
440,BNU2,UPSM1,raw,0.3657686506553005,2.6802632436482937e-28,0.023926138333818098,0.0028585464092534024
441,BNU2,UPSM1,ptr,,,,
442,BNU2,UPSM1,zscore,,,,
443,BNU2,UPSM1,combat,-0.021429230139791706,1.0,0.02678439315011005,0.0017086430894638948
444,BNU2,IACAS,raw,0.36430365731867914,1.638576262179565e-14,0.06476148221165572,0.0007762926492832908
445,BNU2,IACAS,ptr,,,,
446,BNU2,IACAS,zscore,,,,
447,BNU2,IACAS,combat,-0.029570086903773843,1.0,0.06038569692876521,0.0011300659742097584
448,BNU2,BNU3,raw,0.017907427310280423,0.05605913848841954,0.03677176401720277,0.011143922689232687
449,BNU2,BNU3,ptr,-0.08589390160740014,1.0,0.03751304162150666,0.0104770441606229
450,BNU2,BNU3,zscore,-0.07449812712268411,1.0,0.037265645753805025,0.01069493419132837
451,BNU2,BNU3,combat,-0.03248703255962029,1.0,0.03694027982613232,0.010988590956161275
452,BNU2,JHNU,raw,0.1246018127576001,4.7481377626704985e-06,0.03573097732141575,0.009550046937023193
453,BNU2,JHNU,ptr,,,,
454,BNU2,JHNU,zscore,,,,
455,BNU2,JHNU,combat,-0.02726369728240023,1.0,0.038059175871330155,0.007753825510215754
456,BNU2,Utah1,raw,0.3588554509770767,9.129609034308914e-14,0.10078899024449327,5.349842431119961e-05
